ubicacion,actualizado_dt,actas_contabilizadas_pct,global_contabilizadas,global_jee,global_pendientes,candidato_o_tipo,agrupacion,porcentaje_valido,porcentaje_emitido,cantidad_votos,electores_habiles,asistentes_totales,ausentes_totales,pendientes_totales,lat,lon
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,10.048,8.461,1392962,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,8.036,6.767,1114012,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,7.534,6.344,1044384,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",3.594,3.027,498286,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,3.518,2.962,487641,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.888,1.590,261690,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1.493,1.257,207014,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.295,1.091,179564,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.834,0.702,115558,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.795,0.669,110210,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.724,0.610,100346,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.686,0.577,95044,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.847,0.713,117437,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.88,0.741,121941,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.96,0.808,133100,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.083,0.912,150151,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.097,0.082,13482,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.084,0.070,11592,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.067,0.057,9325,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.057,0.048,7865,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.127,0.107,17628,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.135,0.113,18656,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.16,0.135,22195,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.184,0.155,25470,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.195,0.164,27074,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.243,0.204,33627,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0.366,0.308,50697,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.392,0.330,54345,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.393,0.331,54490,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.418,0.352,57919,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.502,0.422,69545,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.569,0.479,78835,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,16.884,14.217,2340691,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,12.531,10.551,1737133,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,11.65,9.810,1615060,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,10.735,9.040,1488225,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.569,0.479,79230,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.501,0.422,69732,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.417,0.351,58045,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.393,0.331,54697,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.127,0.107,17711,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.135,0.113,18749,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.16,0.135,22274,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.184,0.155,25588,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.057,0.048,7905,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.067,0.057,9361,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.084,0.071,11666,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.097,0.082,13564,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.195,0.164,27157,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.243,0.204,33746,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0.366,0.308,50973,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.391,0.329,54464,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.834,0.702,116036,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.798,0.671,110988,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.725,0.610,100892,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.687,0.578,95583,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",3.588,3.020,499271,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,7.53,6.339,1047857,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,8.024,6.754,1116533,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,10.059,8.468,1399784,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,10.794,9.086,1501939,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,11.627,9.787,1617867,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,12.5,10.522,1739385,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,16.882,14.211,2349099,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.848,0.714,118028,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.879,0.740,122315,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.959,0.808,133486,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.084,0.913,150893,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.299,1.093,180697,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1.495,1.259,208087,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.888,1.589,262728,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:14:33,80.183,74383,2405.0,15978.0,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,3.513,2.957,488781,27325432,16532706,5125158.0,5667568.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.195,0.164,27177,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.243,0.204,33798,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0.366,0.308,51053,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.391,0.329,54511,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.393,0.331,54752,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.417,0.351,58074,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.501,0.422,69827,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.57,0.480,79373,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.057,0.048,7923,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.067,0.057,9375,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.084,0.071,11692,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.098,0.082,13594,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.127,0.107,17732,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.135,0.113,18784,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.16,0.135,22308,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.184,0.155,25622,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.084,0.913,151064,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.959,0.807,133592,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.879,0.740,122476,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.848,0.714,118198,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,10.061,8.468,1401629,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,8.021,6.751,1117360,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,7.529,6.337,1048885,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",3.586,3.018,499542,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.688,0.579,95833,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.725,0.611,101051,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.798,0.672,111227,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.834,0.702,116216,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,16.88,14.208,2351570,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,12.491,10.513,1740064,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,11.62,9.780,1618717,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,10.813,9.101,1506352,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.299,1.093,180921,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1.497,1.260,208496,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.888,1.589,263035,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:24:37,80.298,74489,2445.0,15832.0,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,3.511,2.955,489113,27325432,16553200,5134995.0,5637237.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.57,0.480,79560,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.501,0.422,69888,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.417,0.351,58111,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.393,0.331,54852,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.127,0.107,17762,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.135,0.114,18824,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.16,0.135,22341,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.184,0.155,25663,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.391,0.329,54551,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0.367,0.309,51141,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.243,0.204,33868,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.195,0.164,27218,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.057,0.048,7940,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.067,0.057,9385,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.084,0.071,11713,27325432,16577520,5145106.0,5602807.0,,
TODOS,2026-04-14 18:34:44,80.425,74607,2481.0,15678.0,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.098,0.082,13629,27325432,16577520,5145106.0,5602807.0,,
