ubicacion,actualizado_dt,avance_actas_pct,actas_contabilizadas,actas_pendientes,actas_jee,total_actas,votantes_ausentes_est,votantes_emitidos_pendientes_est,votantes_emitidos_jee_est,votantes_validos_pendientes_est,votantes_validos_jee_est,candidato_o_tipo,agrupacion,porcentaje_valido_base,porcentaje_valido_usado_prior,votos_proyectados_faltantes,votos_proyectados_pendientes,votos_proyectados_jee,observacion
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.152,0.106,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.152,0.154,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.141,0.086,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.13,0.152,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.102,0.095,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.09,0.109,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.073,0.106,1.0,0.0,1.0,Data real
LUYA,2026-04-17 18:08:40,0.9623,153,0,6,159,552.97,0.0,958.46,0.0,695.07,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.023,0.057,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,19.363,19.121,23.0,0.0,23.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,17.689,17.708,22.0,0.0,22.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,12.938,12.84,16.0,0.0,16.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,12.87,12.724,15.0,0.0,15.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,5.083,4.847,6.0,0.0,6.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,4.789,4.865,6.0,0.0,6.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,4.29,4.162,5.0,0.0,5.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,3.438,3.188,4.0,0.0,4.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,2.576,2.588,3.0,0.0,3.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,2.39,2.273,3.0,0.0,3.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.92,2.04,2.0,0.0,2.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,1.91,1.995,2.0,0.0,2.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1.401,1.247,2.0,0.0,2.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,1.019,1.161,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.921,0.978,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.901,1.091,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.823,1.001,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.695,0.822,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.686,0.823,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.686,0.834,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.656,0.569,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.46,0.508,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.451,0.561,1.0,0.0,1.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.313,0.236,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.264,0.324,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.225,0.108,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.225,0.23,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.186,0.0,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.176,0.342,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.147,0.191,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.147,0.009,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.127,0.181,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.069,0.117,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.059,0.142,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.059,0.143,0.0,0.0,0.0,Data real
BOLOGNESI,2026-04-17 18:07:37,0.9882,84,0,1,85,81.58,0.0,156.37,0.0,121.42,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.049,0.031,0.0,0.0,0.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,27.764,27.711,306.0,0.0,306.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,17.446,17.539,194.0,0.0,194.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,12.356,12.368,137.0,0.0,137.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,10.399,10.441,115.0,0.0,115.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,5.908,6.022,67.0,0.0,67.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,3.642,3.856,43.0,0.0,43.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,3.477,3.729,41.0,0.0,41.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,2.869,2.776,31.0,0.0,31.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,1.899,2.007,22.0,0.0,22.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.439,1.332,15.0,0.0,15.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,1.43,1.351,15.0,0.0,15.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.256,1.228,14.0,0.0,14.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1.233,1.393,15.0,0.0,15.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,1.01,0.907,10.0,0.0,10.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.818,0.706,8.0,0.0,8.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.809,0.759,8.0,0.0,8.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.742,0.623,7.0,0.0,7.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.706,0.549,6.0,0.0,6.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.617,0.496,5.0,0.0,5.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.545,0.637,7.0,0.0,7.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.492,0.345,4.0,0.0,4.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.474,0.433,5.0,0.0,5.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.322,0.406,4.0,0.0,4.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.295,0.205,2.0,0.0,2.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.295,0.291,3.0,0.0,3.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.255,0.495,5.0,0.0,5.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.237,0.104,1.0,0.0,1.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.219,0.239,3.0,0.0,3.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.21,0.175,2.0,0.0,2.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.206,0.336,4.0,0.0,4.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.179,0.13,1.0,0.0,1.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.161,0.117,1.0,0.0,1.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.094,0.028,0.0,0.0,0.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.094,0.248,3.0,0.0,3.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.058,0.019,0.0,0.0,0.0,Data real
CARHUAZ,2026-04-17 18:08:40,0.953,142,0,7,149,382.62,0.0,1543.93,0.0,1104.37,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.049,0.0,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,20.317,20.248,22.0,0.0,22.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,18.801,18.459,20.0,0.0,20.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,16.825,16.723,18.0,0.0,18.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,8.713,8.632,9.0,0.0,9.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,7.549,7.427,8.0,0.0,8.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,6.102,6.16,7.0,0.0,7.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,4.656,4.479,5.0,0.0,5.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,3.527,3.206,4.0,0.0,4.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,2.822,2.826,3.0,0.0,3.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,2.152,1.898,2.0,0.0,2.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,1.975,2.074,2.0,0.0,2.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.811,0.988,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.6,0.673,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,0.6,0.48,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.6,0.491,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.494,0.735,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.494,0.666,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0.423,0.246,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,0.353,0.525,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.282,0.51,1.0,0.0,1.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.247,0.321,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.247,0.411,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.176,0.182,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.176,0.083,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.141,0.348,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.106,0.171,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.106,0.174,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.106,0.248,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.106,0.0,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.106,0.0,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.106,0.161,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.071,0.173,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.071,0.176,0.0,0.0,0.0,Data real
CORONGO,2026-04-17 18:08:40,0.963,26,0,1,27,87.93,0.0,146.51,0.0,109.34,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.071,0.0,0.0,0.0,0.0,Data real
